seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0÷colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0÷colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0÷colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0÷colour_1.0,eta
6,baseline,"dro",(None),0.8053624627606752,0.7128309572301426,0.8934108527131783,0.2296451378045633,0.6111665004985045,0.9980217606330366,0.3868552601345321,0.612377930628333,0.28913260219341974,0.5143422354104846,0.2252096332170649,0.5621405015722065,0.3917748917748918,0.9980769230769231,0.6063020313020313,0.3925297566916064,0.7985212569316081,0.9979633401221996,0.19944208319059142,0.8001508921498359,0.01
6,baseline,"dro",(None),0.8435948361469712,0.8910386965376782,0.7984496124031008,0.045116006224290746,0.6889332003988036,0.9970326409495549,0.30809944055075134,0.6909835968285619,0.5603190428713859,0.5153313550939663,0.04498768777741957,0.9197105856926124,0.7705627705627706,0.9980769230769231,0.22751415251415252,0.7720474772497894,0.6192236598890942,0.9959266802443992,0.376703020355305,0.6217562719949801,0.1
6,baseline,"dro",(None),0.7954319761668321,0.9786150712830958,0.6211240310077519,0.32912693110568203,0.5922233300099701,0.9970326409495549,0.40480931093958483,0.5939858994445235,0.8265204386839482,0.5173095944609297,0.3092108442230185,0.6258884478218486,0.9545454545454546,1.0,0.045454545454545414,0.9545454545454546,0.2828096118299446,0.9938900203665988,0.7110804085366542,0.284548195509227,0.3
6,baseline,"dro",(None),0.7492552135054618,0.5295315682281059,0.9583333333333334,0.6204337009057225,0.53938185443669,0.9574678536102869,0.4180859991735969,0.5633419987969974,0.0,0.5568743818001978,0.5568743818001978,0.0,0.0,1.0,1.0,0.0,1.0,0.9124236252545825,0.08757637474541746,0.9124236252545825,1.0
7,baseline,"dro",(None),0.7581926514399205,0.5061099796334012,0.998062015503876,0.5722029940319372,0.998019801980198,0.5169322709163346,0.48108753106386337,0.5179579301840258,0.49405940594059405,0.0,0.49405940594059405,0.0,1.0,0.0,1.0,0.0,0.9961013645224172,1.0,0.003898635477582846,0.9961013645224172,0.01
7,baseline,"dro",(None),0.7576961271102284,0.5061099796334012,0.997093023255814,0.5729651853988967,0.997029702970297,0.5169322709163346,0.4800974320539624,0.5184722876122125,0.49504950495049505,0.0,0.49504950495049505,0.0,1.0,0.0,1.0,0.0,0.9941520467836257,1.0,0.005847953216374324,0.9941520467836257,0.1
7,baseline,"dro",(None),0.7383316782522343,0.9867617107942973,0.501937984496124,0.5560311783710911,1.0,0.4750996015936255,0.5249003984063745,0.4750996015936255,0.49207920792079207,0.9820717131474104,0.4899925052266183,0.5010623983290824,1.0,0.9731958762886598,0.026804123711340222,0.9731958762886598,1.0,0.009633911368015413,0.9903660886319846,0.009633911368015413,0.3
7,baseline,"dro",(None),0.6946375372393248,0.905295315682281,0.4941860465116279,0.6517804334037273,0.904950495049505,0.48306772908366535,0.4218827659658396,0.5338056962521903,0.402970297029703,1.0,0.597029702970297,0.402970297029703,0.8128772635814889,1.0,0.18712273641851107,0.8128772635814889,0.9941520467836257,0.0,0.9941520467836257,0.0,1.0
8,baseline,"dro",(None),0.9155908639523337,0.9073319755600815,0.9234496124031008,0.013766135716830835,0.9990029910269193,0.8328387734915925,0.16616421753532673,0.8336699499122429,0.4885343968095713,0.47477744807121663,0.013756948738354646,0.9718403681947557,1.0,0.8154158215010142,0.18458417849898578,0.8154158215010142,0.9980544747081712,0.8494208494208494,0.14863362528732182,0.8510766405503247,0.01
8,baseline,"dro",(None),0.9081429990069514,0.9083503054989817,0.9079457364341085,0.0009143445733828619,0.9970089730807578,0.8199802176063303,0.17702875547442742,0.8224401582591493,0.4905284147557328,0.4896142433234421,0.0009141714322906669,0.9981363537670985,1.0,0.8174442190669371,0.1825557809330629,0.8174442190669371,0.9941634241245136,0.8223938223938224,0.17176960173069122,0.8272219661652147,0.1
