approach,Seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sens_1,Accuracy_sens_0,Accuracy_sens_0-sens_1,Accuracy_sens_0/sens_1,prob_pos_sens_1,prob_pos_sens_0,prob_pos_sens_0-sens_1,prob_pos_sens_0/sens_1,TPR_sens_1,TPR_sens_0,TPR_sens_0-sens_1,TPR_sens_0/sens_1,TNR_sens_1,TNR_sens_0,TNR_sens_0-sens_1,TNR_sens_0/sens_1
0.01,57,train,DRO,(None),n/a,n/a,0.908639523,0.821792261,0.99127907,0.205179918,0.991008991,0.827245805,0.163763186,0.834751059,0.506493506,0.305034551,0.201458956,0.602247703,1,0.638429752,0.361570248,0.638429752,0.982107356,1,0.017892644,0.982107356
0.01,58,train,DRO,(None),n/a,n/a,0.816782522,0.634419552,0.990310078,0.409721569,0.990375361,0.631794872,0.358580489,0.637934764,0.498556304,0.117948718,0.380607586,0.236580537,1,0.242616034,0.757383966,0.242616034,0.981167608,1,0.018832392,0.981167608
0.01,59,train,DRO,(None),n/a,n/a,0.953326713,0.910386965,0.994186047,0.064981349,0.911735206,0.994100295,0.082365089,0.917146097,0.414242728,0.47885939,0.064616662,0.865061303,0.824351297,1,0.175648703,0.824351297,1,0.98880597,0.01119403,0.98880597
0.01,60,train,DRO,(None),n/a,n/a,0.941906653,0.891038697,0.990310078,0.108518803,0.989680083,0.897607656,0.092072427,0.906967485,0.495356037,0.387559809,0.107796229,0.782386364,1,0.791015625,0.208984375,0.791015625,0.97995992,1,0.02004008,0.97995992
0.01,61,train,DRO,(None),n/a,n/a,0.930983118,0.862525458,0.996124031,0.149245302,0.995934959,0.868932039,0.127002921,0.8724787,0.49796748,0.350485437,0.147482043,0.703831979,1,0.727822581,0.272177419,0.727822581,0.991967871,1,0.008032129,0.991967871
0.01,62,train,DRO,(None),n/a,n/a,0.946871897,0.899185336,0.992248062,0.103624159,0.901980198,0.992031873,0.090051674,0.909225019,0.391089109,0.494023904,0.102934795,0.791640051,0.799595142,1,0.200404858,0.799595142,1,0.984496124,0.015503876,0.984496124
0.01,63,train,DRO,(None),n/a,n/a,0.954319762,0.907331976,0.999031008,0.046638394,0.90990099,0.999003984,0.089102994,0.91080817,0.41980198,0.466135458,0.046333478,0.900600829,0.823300971,1,0.176699029,0.823300971,1,0.998137803,0.001862197,0.998137803
0.01,64,train,DRO,(None),n/a,n/a,0.906156902,0.810590631,0.997093023,0.213281253,0.997118156,0.808838643,0.188279512,0.811176327,0.497598463,0.288797533,0.20880093,0.580382688,1,0.601713062,0.398286938,0.601713062,0.994296578,1,0.005703422,0.994296578
0.01,65,train,DRO,(None),n/a,n/a,0.952333664,0.909368635,0.993217054,0.12746371,0.912745098,0.992957746,0.080212648,0.919218468,0.384313725,0.511066398,0.126752673,0.751983943,0.814968815,1,0.185031185,0.814968815,1,0.985801217,0.014198783,0.985801217
0.01,66,train,DRO,(None),n/a,n/a,0.969712016,0.938900204,0.999031008,0.052159208,0.999022483,0.939455096,0.059567387,0.940374328,0.483870968,0.431886983,0.051983985,0.892566431,1,0.87704918,0.12295082,0.87704918,0.998109641,1,0.001890359,0.998109641
