approach,seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0
ranking,2410,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2i2ob6aw,0.616766467,0.691895179,0.663173653,0.377245509,0.949101796,0.33576866,0.351796407,0.076347305,0.275449102,0.217021277,0.607784431,0.146706587,0.461077844,0.24137931,0.904191617,0.994011976,0.089820359,0.909638554
ranking,2410,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2i2ob6aw,0.616766467,0.691895179,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
ranking,2410,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2i2ob6aw,0.616766467,0.691895179,0.631736527,0.29491018,0.968562874,0.243070412,0.252994012,0.073353293,0.179640719,0.289940828,0.449101796,0.140718563,0.308383234,0.313333333,0.943113772,0.994011976,0.050898204,0.948795181
ranking,2410,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2i2ob6aw,0.616766467,0.691895179,0.660928144,0.372754491,0.949101796,0.346221793,0.353293413,0.070359281,0.282934132,0.199152542,0.610778443,0.134730539,0.476047904,0.220588235,0.904191617,0.994011976,0.089820359,0.909638554
ranking,2410,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2i2ob6aw,0.616766467,0.691895179,0.654191617,0.360778443,0.94760479,0.2847169,0.321856287,0.091317365,0.230538922,0.28372093,0.547904192,0.173652695,0.374251497,0.316939891,0.904191617,0.991017964,0.086826347,0.912386707
ranking,1996,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/pcctp5yj,0.590568862,0.697644847,0.664670659,0.374251497,0.95508982,0.34941587,0.351796407,0.067365269,0.284431138,0.191489362,0.616766467,0.131736527,0.48502994,0.213592233,0.913173653,0.997005988,0.083832335,0.915915916
ranking,1996,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/pcctp5yj,0.590568862,0.697644847,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
ranking,1996,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/pcctp5yj,0.590568862,0.697644847,0.646706587,0.315868263,0.97754491,0.275526501,0.27245509,0.065868263,0.206586826,0.241758242,0.5,0.131736527,0.368263473,0.263473054,0.95508982,1,0.04491018,0.95508982
ranking,1996,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/pcctp5yj,0.590568862,0.697644847,0.665419162,0.375748503,0.95508982,0.34712222,0.351796407,0.068862275,0.282934132,0.195744681,0.616766467,0.134730539,0.482035928,0.218446602,0.913173653,0.997005988,0.083832335,0.915915916
ranking,1996,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/pcctp5yj,0.590568862,0.697644847,0.657185629,0.357784431,0.956586826,0.28785097,0.315868263,0.085329341,0.230538922,0.27014218,0.547904192,0.167664671,0.380239521,0.306010929,0.916167665,0.997005988,0.080838323,0.918918919
ranking,711,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3pufoauz,0.622754491,0.69095533,0.670658683,0.377245509,0.964071856,0.388250319,0.363772455,0.049401198,0.314371257,0.135802469,0.655688623,0.098802395,0.556886228,0.150684932,0.928143713,1,0.071856287,0.928143713
ranking,711,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3pufoauz,0.622754491,0.69095533,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
ranking,711,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3pufoauz,0.622754491,0.69095533,0.641467066,0.30239521,0.980538922,0.319799379,0.278443114,0.043413174,0.23502994,0.155913978,0.517964072,0.086826347,0.431137725,0.167630058,0.961077844,1,0.038922156,0.961077844
ranking,711,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3pufoauz,0.622754491,0.69095533,0.671407186,0.378742515,0.964071856,0.385885466,0.363772455,0.050898204,0.312874251,0.139917695,0.655688623,0.101796407,0.553892216,0.155251142,0.928143713,1,0.071856287,0.928143713
ranking,711,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3pufoauz,0.622754491,0.69095533,0.661676647,0.356287425,0.967065868,0.340313906,0.329341317,0.05988024,0.269461078,0.181818182,0.592814371,0.119760479,0.473053892,0.202020202,0.934131737,1,0.065868263,0.934131737
